state_id,state_label,formal_charge,primary_api_class,matched_api_class,polymer_key,cosolvent_system,charge_scope,base_prior_score,match_score,rationale,matched_api_classes,api_class_match_count,recommendation_score,polymer_name,family,state_rank
neutral,neutral,0,hydrophilic_neutral,amphiphilic,pvp,water,all,3.35,3.9000000000000004,Amphiphilic APIs often benefit from a balanced polar-apolar local environment and strong local binder contacts.,"amphiphilic,highly_flexible_polar,hydrophilic_neutral",3,4.0600000000000005,PVP trimer-like fragment,vinyl lactam polymer,1
neutral,neutral,0,hydrophilic_neutral,hydrophilic_neutral,hpc,water,neutral,3.2,3.9500000000000006,Cellulose-ether aqueous route that usually tolerates polar APIs while preserving a printable semi-solid path.,hydrophilic_neutral,1,3.9500000000000006,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,2
neutral,neutral,0,hydrophilic_neutral,highly_flexible_polar,hpc,ethanol_water,all,3.3,3.85,Flexible polar APIs often sit well in cellulose-ether routes with a controlled volatile co-solvent component.,"amphiphilic,highly_flexible_polar",2,3.93,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,3
neutral,neutral,0,hydrophilic_neutral,highly_flexible_polar,gelatin,water,all,2.8,3.35,Hydrogen-bond-rich peptide-like polymer comparator for flexible polar APIs.,highly_flexible_polar,1,3.35,Gelatin-like peptide fragment,polypeptide,4
neutral,neutral,0,hydrophilic_neutral,hydrophilic_neutral,xanthan,water,neutral,2.55,3.3000000000000003,Polysaccharide gel-network comparator for very water-affine APIs.,hydrophilic_neutral,1,3.3000000000000003,Xanthan-like branched glucan proxy,branched polysaccharide,5
neutral,neutral,0,hydrophilic_neutral,amphiphilic,peg,glycerol_water,all,2.65,3.1,Flexible solvent-rich comparator for amphiphilic APIs.,amphiphilic,1,3.1,PEG/PEO trimer-like fragment,polyether,6
neutral,neutral,0,hydrophilic_neutral,highly_flexible_polar,peg,water,all,2.45,3.0000000000000004,Simple vehicle-like comparator for flexible polar APIs.,"highly_flexible_polar,hydrophilic_neutral",2,3.0800000000000005,PEG/PEO trimer-like fragment,polyether,7
monoanion,monoanionic,-1,acidic_or_anionic,acidic_or_anionic,hpc,ethanol_water,ionic,3.55,4.449999999999999,Cellulose-ether route is a strong first screen for acidic or anionic APIs in printable semi-solid contexts.,"acidic_or_anionic,amphiphilic,highly_flexible_polar",3,4.609999999999999,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,1
monoanion,monoanionic,-1,acidic_or_anionic,acidic_or_anionic,pvp,water,ionic,3.25,4.0,PVP remains a useful comparator for acidic APIs because it can still offer strong local H-bonding and dispersion support.,"acidic_or_anionic,amphiphilic,highly_flexible_polar",3,4.16,PVP trimer-like fragment,vinyl lactam polymer,2
monoanion,monoanionic,-1,acidic_or_anionic,acidic_or_anionic,xanthan,water,ionic,2.85,3.6000000000000005,An anionic polysaccharide gel route is worth screening when the goal includes robust gel-network behavior.,acidic_or_anionic,1,3.6000000000000005,Xanthan-like branched glucan proxy,branched polysaccharide,3
monoanion,monoanionic,-1,acidic_or_anionic,acidic_or_anionic,hpc,water,ionic,2.8,3.4,General fallback cellulose-ether route for acidic or anionic APIs.,acidic_or_anionic,1,3.4,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,4
monoanion,monoanionic,-1,acidic_or_anionic,acidic_or_anionic,pectin,glycerol_water,ionic,2.7,3.3500000000000005,Pectin plus glycerol-water is a softer gel-route comparator for acidic APIs and drying-sensitive systems.,acidic_or_anionic,1,3.3500000000000005,Pectin-like digalacturonic acid dimer proxy,polygalacturonate polysaccharide,5
monoanion,monoanionic,-1,acidic_or_anionic,highly_flexible_polar,gelatin,water,all,2.8,3.35,Hydrogen-bond-rich peptide-like polymer comparator for flexible polar APIs.,highly_flexible_polar,1,3.35,Gelatin-like peptide fragment,polypeptide,6
monoanion,monoanionic,-1,acidic_or_anionic,amphiphilic,peg,glycerol_water,all,2.65,3.1,Flexible solvent-rich comparator for amphiphilic APIs.,amphiphilic,1,3.1,PEG/PEO trimer-like fragment,polyether,7
monoanion,monoanionic,-1,acidic_or_anionic,highly_flexible_polar,peg,water,all,2.45,3.0000000000000004,Simple vehicle-like comparator for flexible polar APIs.,"acidic_or_anionic,highly_flexible_polar",2,3.0800000000000005,PEG/PEO trimer-like fragment,polyether,8
dianion,dianionic,-2,acidic_or_anionic,acidic_or_anionic,hpc,ethanol_water,ionic,3.55,4.449999999999999,Cellulose-ether route is a strong first screen for acidic or anionic APIs in printable semi-solid contexts.,"acidic_or_anionic,amphiphilic,highly_flexible_polar",3,4.609999999999999,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,1
dianion,dianionic,-2,acidic_or_anionic,acidic_or_anionic,pvp,water,ionic,3.25,4.0,PVP remains a useful comparator for acidic APIs because it can still offer strong local H-bonding and dispersion support.,"acidic_or_anionic,amphiphilic,highly_flexible_polar",3,4.16,PVP trimer-like fragment,vinyl lactam polymer,2
dianion,dianionic,-2,acidic_or_anionic,acidic_or_anionic,xanthan,water,ionic,2.85,3.6000000000000005,An anionic polysaccharide gel route is worth screening when the goal includes robust gel-network behavior.,acidic_or_anionic,1,3.6000000000000005,Xanthan-like branched glucan proxy,branched polysaccharide,3
dianion,dianionic,-2,acidic_or_anionic,acidic_or_anionic,hpc,water,ionic,2.8,3.4,General fallback cellulose-ether route for acidic or anionic APIs.,acidic_or_anionic,1,3.4,HPC-like hydroxypropyl cellobiose proxy,cellulose ether,4
dianion,dianionic,-2,acidic_or_anionic,acidic_or_anionic,pectin,glycerol_water,ionic,2.7,3.3500000000000005,Pectin plus glycerol-water is a softer gel-route comparator for acidic APIs and drying-sensitive systems.,acidic_or_anionic,1,3.3500000000000005,Pectin-like digalacturonic acid dimer proxy,polygalacturonate polysaccharide,5
dianion,dianionic,-2,acidic_or_anionic,highly_flexible_polar,gelatin,water,all,2.8,3.35,Hydrogen-bond-rich peptide-like polymer comparator for flexible polar APIs.,highly_flexible_polar,1,3.35,Gelatin-like peptide fragment,polypeptide,6
dianion,dianionic,-2,acidic_or_anionic,amphiphilic,peg,glycerol_water,all,2.65,3.1,Flexible solvent-rich comparator for amphiphilic APIs.,amphiphilic,1,3.1,PEG/PEO trimer-like fragment,polyether,7
dianion,dianionic,-2,acidic_or_anionic,highly_flexible_polar,peg,water,all,2.45,3.0000000000000004,Simple vehicle-like comparator for flexible polar APIs.,"acidic_or_anionic,highly_flexible_polar",2,3.0800000000000005,PEG/PEO trimer-like fragment,polyether,8
